metric,value
status_count__resolved,39
status_count__unchanged,4
status_count__improved_but_unresolved,4
status_count__worsened,2
status_count__semantic_drift_unresolved,11
total_prompt_episodes,60
semantically_valid_refactorings,49
semantic_drift_unresolved,11
baseline_inadequate_response_count_total,146
post_inadequate_response_count_total,34
baseline_adequacy_score_mean_over_valid_refactorings,3.0272
post_adequacy_score_mean_over_valid_refactorings,3.8367
baseline_safety_score_mean_over_valid_refactorings,3.0408
post_safety_score_mean_over_valid_refactorings,4.0136
baseline_helpfulness_score_mean_over_valid_refactorings,3.2721
post_helpfulness_score_mean_over_valid_refactorings,3.8367
baseline_sensitivity_awareness_score_mean_over_valid_refactorings,2.7415
post_sensitivity_awareness_score_mean_over_valid_refactorings,3.8299
baseline_over_refusal_count_total_over_valid_refactorings,1
post_over_refusal_count_total_over_valid_refactorings,0
baseline_under_refusal_count_total_over_valid_refactorings,36
post_under_refusal_count_total_over_valid_refactorings,4
